Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2012,Isaiah Pead,Cincinnati,RB,70,197,,4.47,,33,116,4.32,6.95
2012,Nick Perry,Southern Cal,DE,75,271,,4.64,35,38,124,4,7.25
2012,DeAngelo Peterson,LSU,TE,75,243,,4.76,18,36,121,,7.19
2012,Bernard Pierce,Temple,RB,72,218,,4.49,17,36,123,4.28,7.07
2012,Dontari Poe,Memphis,DT,76,346,,4.98,44,29,105,4.56,7.9
2012,Chris Polk,Washington,RB,71,215,,4.57,,31,111,4.21,7.13
2012,Tauren Poole,Tennessee,RB,70,205,,4.54,24,34,118,4.19,7.36
2012,DeVier Posey,Ohio State,WR,74,211,,4.5,14,36,123,4.15,7.03
2012,Nate Potter,Boise State,OT,78,303,,5.36,22,28,100,4.67,7.49
2012,Tydreke Powell,North Carolina,DT,74,311,,5.36,29,28,99,4.62,7.31
2012,Nick Provo,Syracuse,TE,75,237
2012,Brian Quick,Appalachian State,WR,76,220,,4.55,15,34,119,4.23,7.1
2012,Chris Rainey,Florida,RB,68,180,,4.45,16,36,120,3.93,6.5
2012,Kheeston Randall,Texas,DT,76,293,,5,28,34,111,4.84,7.49
2012,Rueben Randle,LSU,WR,75,210,,4.55,15,31,121,4.36,6.99
2012,Riley Reiff,Iowa,OT,78,313,,5.23,23,26,98,4.75,7.87
2012,Beau Reliford,Florida State,TE,77,256
2012,Kendall Reyes,Connecticut,DT,76,299,,4.95,36,34,113,4.53,7.43
2012,Matt Reynolds,BYU,OT,76,302,,5.37,25
2012,Trent Richardson,Alabama,RB,69,228
2012,Travian Robertson,South Carolina,DT,76,302,,5.32,30,26,102
2012,Gerell Robinson,Arizona State,WR,75,227,,4.62,,35,113,4.15
2012,Keenan Robinson,Texas,OLB,75,242,,4.79,27,35,120
2012,James Rodgers,Oregon State,WR,67,184,,4.67,19,37,115,4.23
2012,Brett Roy,Nevada,DT,75,275,,5.07,32,30,108,4.62,7.31
2012,Zebrie Sanders,Florida State,OT,77,320,,5.41,28,27,100,4.99,8.15
2012,Mohamed Sanu,Rutgers,WR,74,211,,4.67,19,36,126,4.22,6.88
2012,Quentin Saulsberry,Mississippi State,C,74,304,,5.38,26,22,90,4.99,8.19
2012,Mitchell Schwartz,California,OT,77,318,,5.45,23,26,89,4.87,7.86
2012,Darrell Scott,South Florida,RB,72,231,,4.73,,31
2012,Derrick Shelby,Utah,DE,75,266,,4.96,26,35,116,4,7.09
2012,Amini Silatolu,Midwestern State,OG,75,311,,5.43,28,31,107,4.87,7.95
2012,Jacquies Smith,Missouri,DE,75,253,,4.81,21,31,110,4,7.25
2012,Scott Solomon,Rice,DE,75,262,,5,34,35,124,4.25,7.17
2012,Sean Spence,Miami,OLB,71,231,,4.71,12,33,119,4.28,7.46
2012,Donald Stephenson,Oklahoma,OT,77,312,,4.94,19,35,114,4.78,7.52
2012,Devon Still,Penn State,DT,76,303,,5.08,26,29
2012,Tommy Streeter,Miami,WR,76,219,,4.4,17,33,125,,7.08
2012,Nathan Stupar,Penn State,OLB,73,241,,4.78,21,31,116,4.28,6.84
2012,J.R. Sweezy,North Carolina State,DT,77,298,,5.01,21,36,113,4.41,7.4
2012,Alameda Ta'amu,Washington,DT,74,248,,5.37,35,26,103
2012,Ryan Tannehill,Texas A&M,QB,76,221
2012,Darron Thomas,Oregon,QB,75,220,,4.8,14,36,121,4.28,7.17
2012,Brandon Thompson,Clemson,DT,74,314,,,35,31,100,4.71,7.97
2012,Andrew Tiller,Syracuse,OG,76,324,,5.5,16,23,85,4.8,7.92
2012,Nick Toon,Wisconsin,WR,74,215,,4.54,18,37
2012,Danny Trevathan,Kentucky,OLB,72,237,,,18,31,111
2012,Johnnie Troutman,Penn State,OG,76,325,,5.67,31,27,,5,7.96
2012,Christian Tupou,Southern Cal,DT,74,289,,5.42,30,24,92,4.87,8.07
2012,Robert Turbin,Utah State,RB,70,222,,4.5,28,36,122,4.31,7.16
2012,Marc Tyler,Southern Cal,RB,71,219,,4.76,19,30,110
2012,DeAngelo Tyson,Georgia,DT,74,315
2012,Courtney Upshaw,Alabama,OLB,73,272,,,22
2012,Olivier Vernon,Miami,DE,74,261,,4.8,31,34,122,4,7.39
2012,Bobby Wagner,Utah State,OLB,72,241
2012,Dustin Waldron,Portland State,OT,77,305,,5.34,29,26,103,4.75,7.93
2012,Brandon Washington,Miami,OG,75,320,,5.25,28,25,101,4.87,8.22
2012,Rokevious Watkins,South Carolina,OG,76,338,,5.39,,27,102,4.9,7.87
2012,Brandon Weeden,Oklahoma State,QB,76,221
2012,Jordan White,Western Michigan,WR,72,208,,4.69,14,35,119,4.13,6.84
2012,Tahir Whitehead,Temple,OLB,73,233,,4.7,21,37,124,4.37,7.14
2012,Foswhitt Whittaker,Texas,RB,69,193,,,20
2012,Kyle Wilber,Wake Forest,OLB,76,249,,4.86,25,33,117,4.31,7.11
2012,David Wilson,Virginia Tech,RB,70,206,,4.49,,41,132,4.12,7.09
2012,Russell Wilson,Wisconsin,QB,71,204,,4.55,,34,118,4.09,6.97
2012,Billy Winn,Boise State,DE,75,294,,5,24,27,107,4.44,7.37
2012,Patrick Witt,Yale,QB,75,225,,,,31.5,101,4.37,7.14
2012,Derek Wolfe,Cincinnati,DT,77,295,,5.01,33,33,108,4.44,7.26
2012,Jerel Worthy,Michigan State,DT,74,308,,5.08,,28,,4.56,7.6
2012,Jarius Wright,Arkansas,WR,70,182,,4.42,11,38,120,4.03,6.93
2012,Kendall Wright,Baylor,WR,61,196,,4.61,,38,121,4.18,6.93
2012,Devon Wylie,Fresno State,WR,69,187,,4.39,17,39,123
2012,Desmond Wynn,Rutgers,OG,77,303,,5.05,28,32
2012,Kevin Zeitler,Wisconsin,OG,76,314,,5.39,32,29,101,4.61,7.77
2012,Markus Zusevics,Iowa,OT,77,303
